PMNAME,PMUNIT,PMSARATE,PMPURATE,PMMRRATE,PM_GSTPER,PMGROUP
COLOUR PAPER A4,NOS,3,0.85,3,0,GENERAL
HATSUN LESSE,NOS,10,9,10,0,GENERAL
CHINGS VEG HAKKA 600GM,NOS,107,87,107,0,GENERAL
BLEACHING POW1KG,NOS,80,56,80,0,GENERAL
DABUR GINGE GARLIC 200G,NOS,50,36.5,50,0,GENERAL
DABUR GINGER GARLI 100GM,NOS,25,18.25,25,0,GENERAL
PRE SERVI TISSUE 50S,NOS,55,42.3,55,0,GENERAL
THUMS UP 1.25LR,NOS,65,50.7,65,0,GENERAL
ALOFRUT 200GM,NOS,30,22.5,30,0,GENERAL
PANNER SODA 500ML,NOS,35,30.1,35,0,GENERAL
SKC SAFFRON 1GM,NOS,252,150,252,0,GENERAL
POPLAR APPLAM75GM,NOS,75,60,75,0,GENERAL
KUDIRAIVALI RICE500G,NOS,80,56,80,0,GENERAL
VARAGU RICE500G,NOS,70,49,70,0,GENERAL
THNAIRICE 500GM,NOS,70,49,70,0,GENERAL
RICEFLOUR NUTR500GM,NOS,35,26,35,0,GENERAL
RAGIFLOUR NUTR500GM,NOS,47,38,47,0,GENERAL
AACHI CHILLI 200GM,NOS,117,53.17,117,0,GENERAL
AACHI PICKLE MASALA100G,NOS,35,24.72,35,0,GENERAL
AMBICA RICE APP,NOS,85,59.5,85,0,GENERAL
AACHI SAMBA PUT500GM,NOS,55,43.49,55,0,GENERAL
GODREJ HANDWASH750ML,NOS,140,77,140,0,GENERAL
PEN FOUN INK,NOS,50,39.5,50,0,GENERAL
BANANA CHIPS100GM,NOS,45,32,45,0,GENERAL
RICE HAMSA BOIL1KG,NOS,65,48,65,0,GENERAL
HAND SANITIZER 500ML,NOS,250,101,250,0,GENERAL
HANDWASH 250ML,NOS,120,50,120,0,GENERAL
HAND SANITIZER 100ML,NOS,50,24,50,0,GENERAL
RICE BOIL SIVAJI V K R1KG,NOS,72,56,72,0,GENERAL
THINAIFLOUR 400GM,NOS,55,41.26,55,0,GENERAL
BUTTER BIS 24NO,NOS,65,40,65,0,GENERAL
RED LABEL 250GM,NOS,145,135.51,145,0,GENERAL
DETTOL ORIGI POUCH 750ml,OTHERS,169,45.5,169,0,GENERAL
RICE RAW MGR 1KG,NOS,62,42,62,0,GENERAL
JOWERFLOUR 400GM,NOS,45,33.91,45,0,GENERAL
SAAMAIRICE 500GM,NOS,75,52.5,75,0,GENERAL
TIK DRAINCLEAN,NOS,75,60.66,75,0,GENERAL
COLOUR BALL 1NO,NOS,25,15,25,0,GENERAL
DOMS WAX CRAYONS SMALL,NOS,10,7.5,10,0,GENERAL
NAT SCALE 30CM,NOS,12,7.7,10,0,GENERAL
NAT SCALE 15CM,NOS,5,3.6,50,0,GENERAL
NAT COLOUR PENCIL,NOS,25,16.66,25,0,GENERAL
RITE BITE 40GM,NOS,35,37,35,0,GENERAL
RITE BITE 35GM,NOS,35,35.83,35,0,GENERAL
RITE BITE SPO 40GM,NOS,40,30,40,0,GENERAL
RITE BITE ALMON,NOS,50,47.58,50,0,GENERAL
NIMYLE HER 1LR,NOS,165,143.75,165,0,GENERAL
PROCLEAN BATCLN 1L,NOS,172,140.72,172,0,GENERAL
BALLON PLAIN,NOS,120,55,120,0,GENERAL
PARKER VECTOR,NOS,370,288,370,0,GENERAL
CLASSIC 1PACK,NOS,360,304,360,0,GENERAL
NAVIN CUP SAM,NOS,72,57.5,72,0,GENERAL
CAREFREE EXTRA,NOS,105,93.75,95,0,GENERAL
FEVIKWIK 1GM,NOS,10,8.39,10,0,GENERAL
TOILET BRU DOU HO BIG,NOS,95,54,95,0,GENERAL
BROOM JUM DIS SPL,NOS,182,99,182,0,GENERAL
COCA COLA700ML,NOS,40,30.24,40,0,GENERAL
SAVLON WETWIPES 72,NOS,189,156.27,189,0,GENERAL
PARKER BETA FP CT,NOS,130,104,130,0,GENERAL
SUGARLITE 500G,NOS,99,49.5,99,0,GENERAL
FILE BUT THIK,NOS,40,16,40,0,GENERAL
SCISSORS 008,NOS,95,36,95,0,GENERAL
SCISSORS 100,NOS,95,50,95,0,GENERAL
AACHI PANIPURI KIT150G,NOS,40,31.65,40,0,GENERAL
SAMBA WHEAT 500 G,OTHERS,80,34.5,60,0,GENERAL
AACHI VENPONGAL200G,NOS,55,44.4,55,0,GENERAL
AACHI RAGI VERMI 180GM,NOS,22,16.78,22,0,GENERAL
OCTO GEL,NOS,10,7.9,10,0,GENERAL
OCTANE INK PEN,NOS,50,39.51,50,0,GENERAL
FUNFOOD PASTA325G,NOS,89,75.2,89,0,GENERAL
ROYAL TOILET TISSUE,NOS,45,28.8,45,0,GENERAL
NESCAFE DECOCTION240ML,NOS,140,130.84,140,0,GENERAL
OPEN SECRET,NOS,35,22.23,35,0,GENERAL
YARDLEY DEO,NOS,199,133.33,199,0,GENERAL
HERSHEYS COCO CHO350GM,NOS,295,234.9,295,0,GENERAL
RAJAJAM CORN FLAKES,OTHERS,30,54,30,0,GENERAL
VOLINI PAIN RELGEL75G,NOS,245,196,245,0,GENERAL
VOLINY SPRAY 60G,NOS,208,166.4,190,0,GENERAL
VOLINI SPRAY 100G,NOS,320,256,320,0,GENERAL
NATURE POW LAV100G,NOS,30,25.8,30,0,GENERAL
NATURE POW SAN100G,NOS,30,25.8,30,0,GENERAL
NATURE POW ROSE100G,NOS,30,25.8,30,0,GENERAL
NATURE POW PAPAYA125G,NOS,40,36.4,40,0,GENERAL
OMAM WATER 100G,NOS,24,17,24,0,GENERAL
KAJU RUSK 250G,NOS,70,57,70,0,GENERAL
EXO SCRUB BIG,NOS,15,11.09,15,0,GENERAL
TRO PINEAPPLE 1LTR,OTHERS,110,81,110,0,GENERAL
EXO SCRUB SMALL,NOS,10,7.39,10,0,GENERAL
HENKO FRONTLOAD1KG,NOS,215,191.11,215,0,GENERAL
HENKO TOPLOAT1KG,NOS,190,168.89,190,0,GENERAL
UJALA STIFFSHI500G,NOS,115,100.36,115,0,GENERAL
UJALA IDD LIQ DET430ML,NOS,65,53.18,65,0,GENERAL
UJALA IDD LIQ DET800ML,NOS,110,90,110,0,GENERAL
UJALA SUP250ML,NOS,70,63.63,70,0,GENERAL
DEV TEATIME,NOS,60,50.4,60,0,GENERAL
DEV SALTDIAMOND,NOS,60,45,60,0,GENERAL
DEW MADURASEV,NOS,60,50.4,60,0,GENERAL
DEV CORNMIXTURE,NOS,65,54.35,65,0,GENERAL
DEW ROST PEANUT,NOS,65,49.03,65,0,GENERAL
DEW MASALA PEANUT,NOS,60,50.4,60,0,GENERAL
DEW THATTA,NOS,70,52.37,70,0,GENERAL
DEW POTATOCHIPS,NOS,70,58.8,70,0,GENERAL
DEW MURUKK,NOS,95,71.25,95,0,GENERAL
DEW BANANACHIPS,NOS,95,79.8,95,0,GENERAL
HEINEKAN NON OLCOBEER,NOS,75,25.42,75,0,GENERAL
AMBIKA NO.4,NOS,100,76.92,100,0,GENERAL
STAY DRY ALLNIG 42S,NOS,480,401.7,480,0,GENERAL
STAYFREE SEC XLWIN 40S,NOS,220,184.64,220,0,GENERAL
STAY SECURE XLWING6SPOPUP,NOS,36,30.21,36,0,GENERAL
CAD DAIRY 126G,NOS,149,98,149,0,GENERAL
CAD PER 175.5G,NOS,99,72,99,0,GENERAL
CAD 5STAR 200G,NOS,149,108,149,0,GENERAL
LAKME LIP45G,NOS,150,99,150,0,GENERAL
DOVE BABY WASH400ML,NOS,315,79,315,0,GENERAL
MOOVE SPRAY 80G,NOS,275,223.13,275,0,GENERAL
MAYOORA GIN AMLA200G,NOS,125,100,125,0,GENERAL
ALOFRUIT 300ML,NOS,40,30,40,0,GENERAL
KOLLU 500 G,OTHERS,60,27.5,60,0,GENERAL
AMLA CANDY 200G,NOS,125,100,125,0,GENERAL
GODREJ AIR MATIC,NOS,275,215.42,275,0,GENERAL
GODREJ AER TWIST,NOS,379,263.18,379,0,GENERAL
DUKES WAFER ROLL250G,NOS,150,72.5,150,0,GENERAL
DUKES NIBBLES,NOS,55,19,55,0,GENERAL
NIVEA MEN DEO,NOS,199,128.66,199,0,GENERAL
HERSHEYS COCOA,NOS,270,209,270,0,GENERAL
AASHIR GHEE 200ML,NOS,157,135.53,151,0,GENERAL
PARLE CREAM ONION150G,NOS,60,30,60,0,GENERAL
SCOTCH BRI SPON,NOS,70,61.4,70,0,GENERAL
BARLI 100 G,OTHERS,20,0,20,0,GENERAL
SCOTC NET SPON,NOS,45,39.7,45,0,GENERAL
SCOTCH ANTI BAC,NOS,20,17.54,20,0,GENERAL
CROWN DATES 250G,NOS,117,88.79,117,0,GENERAL
FORT BRIY CLASSIC 1KG,NOS,202,135,202,0,GENERAL
FORT BRI SPECI 1KG,NOS,175,106,175,0,GENERAL
A4 COLOUR PAPER 1NO,NOS,4,1,4,0,GENERAL
CAMLIN PRIT,NOS,110,84,110,0,GENERAL
CAMLIN POWER,NOS,75,62,75,0,GENERAL
DOMS SKETCH,NOS,35,26,35,0,GENERAL
PAPER CUTTER MED,NOS,40,30,40,0,GENERAL
REDLABEL (N)250GM,NOS,165,154.21,165,0,GENERAL
MAKKACHOLAM 250 G,OTHERS,6.65,0,7,0,GENERAL
ZIP LOCK 10*14,NOS,18,380,18,0,GENERAL
PAD LOCK 75M,NOS,345,180,345,0,GENERAL
HAND KARCHEIF1NO,NOS,25,11.66,25,0,GENERAL
DUSTBIN BASKET,NOS,138,55,165,0,GENERAL
DUST PAN XL,NOS,55,30,55,0,GENERAL
PLASTIC HANGER,NOS,30,18,25,0,GENERAL
SOAP OIL 5LR,NOS,450,325,450,0,GENERAL
AACHI MEDHU VADAI200G,NOS,65,52.45,65,0,GENERAL
OHMS SOYA 200G,NOS,35,28,35,0,GENERAL
COCA COLA 1.25LR,NOS,65,49.13,65,0,GENERAL
PANAKALKANDU 100 G,OTHERS,30,8,30,0,GENERAL
AASHIRVAAD GHEE500G,NOS,360,323.13,360,0,GENERAL
DOUBLE CELLO RED1NO,NOS,248,135,248,0,GENERAL
STRAW PAPER100NO,NOS,98,30,98,0,GENERAL
SPOON WOOD 100NO,NOS,200,75,200,0,GENERAL
KANGARO SING HOLE1NO,NOS,95,72,95,0,GENERAL
SLATE PENCIL 1NO,NOS,20,5.17,20,0,GENERAL
KETTLE CHIPS 47G,NOS,40,32.39,40,0,GENERAL
MAKINO CHIPS 60G,NOS,35,26.6,35,0,GENERAL
MAKINO CHIPS 100G,NOS,75,53.2,75,0,GENERAL
NACHO CHIPS 60G,NOS,35,28.35,35,0,GENERAL
PANAKALKANDU 250 G,OTHERS,9.5,0,10,0,GENERAL
WATER BOTTLE COOL1LR,NOS,88,42,88,0,GENERAL
SUNROP P.B.CREAMY200G,NOS,100,89.28,100,0,GENERAL
SUNROP P.B CRUNCH 200G,NOS,100,89.29,100,0,GENERAL
MOOV CREAM 50G,NOS,179,146.33,179,0,GENERAL
AACHI GINGER PASTE100G,NOS,25,20.36,25,0,GENERAL
AACHI TAMARIND PAS 100G,NOS,25,20.36,25,0,GENERAL
GILL WILL PLA55,NOS,123,85.95,123,0,GENERAL
GILL VENUS RZR,NOS,249,190.02,249,0,GENERAL
GILL VENUS BREEZE,NOS,399,304.5,399,0,GENERAL
GILL BREEZ CAR 2,NOS,350,301.17,350,0,GENERAL
SOMBU 200 G,OTHERS,98,0,15,0,GENERAL
GILL MAC3 CART4,NOS,630,556.75,630,0,GENERAL
GILL MACH3 TUBECART4,NOS,610,539.19,610,0,GENERAL
GILL MACH3 TUBECART2,NOS,330,291.64,330,0,GENERAL
GILL GUAR RZR5S,NOS,100,77.6,100,0,GENERAL
GILL GUAR1S,NOS,100,78.49,100,0,GENERAL
GILL GUARD CART3S,NOS,27,19.81,27,0,GENERAL
GILL MACH3STA CART2,NOS,220,194.43,220,0,GENERAL
GILL MACH3 RAZ,NOS,250,218.96,250,0,GENERAL
GILL MACH3 CART4,NOS,499,440.98,499,0,GENERAL
BLACK U.DHALL500GM,OTHERS,75,35,75,0,GENERAL
GILL MACH3 CART2,NOS,260,229.78,260,0,GENERAL
GILL7 CLOCK SS10S,NOS,120,84.38,120,0,GENERAL
GILL ST RAZ,NOS,100,86.06,100,0,GENERAL
GILL7 O CLOCK SS RAZ,NOS,22,17,22,0,GENERAL
GILL 7O COLCK SP RAZ,NOS,75,59.96,75,0,GENERAL
WHIS UL XL*15,NOS,175,154.65,175,0,GENERAL
WHIS UL XL 7*1,NOS,83,73.33,83,0,GENERAL
WHIS UL XL*17,NOS,175,154.65,175,0,GENERAL
WHIS UL XL 30,NOS,275,236.64,275,0,GENERAL
WHISP ULNITEXXXL10,NOS,275,236.63,275,0,GENERAL
WHISP ULNITE XXL*6,NOS,105,90.35,105,0,GENERAL
WHIS UL ON XXL*16S,NOS,275,236.64,275,0,GENERAL
WHIS UL NI XL*15,NOS,185,154.66,185,0,GENERAL
WHIS SOFT NI XXXL*8,NOS,250,215.13,250,0,GENERAL
WHIS SO NI XXL*5,NOS,125,107.56,125,0,GENERAL
WHIS SO NI XXL*10,NOS,250,215.13,250,0,GENERAL
PAMP XXL 16,NOS,399,298.72,399,0,GENERAL
PAMP SM 32,NOS,399,298.72,399,0,GENERAL
PAMP SM 4S,NOS,40,34.13,40,0,GENERAL
PAMP SM 2S,NOS,20,16.77,20,0,GENERAL
PAMP XS 18,NOS,199,148.98,199,0,GENERAL
PAMP M 26,NOS,399,298.72,399,0,GENERAL
PAMP M13,NOS,199,148.99,199,0,GENERAL
PAMP L6,NOS,105,78.62,105,0,GENERAL
PAMP LG4S,NOS,56,47.78,56,0,GENERAL
AMBIPUR,NOS,279,228.08,279,0,GENERAL
PIKNIK 70G,NOS,60,30,60,0,GENERAL
PEPPY 70G,NOS,60,30,60,0,GENERAL
BRI GOOD CHOCO,NOS,30,21.5,30,0,GENERAL
BLACK ORID DHAL 500 G,OTHERS,88,41,98,0,GENERAL
TOO YUMM 70GM,NOS,30,19.33,30,0,GENERAL
FRY POP PANI PORI 160GM,NOS,150,64,150,0,GENERAL
CHINGS NOODLES 240G,NOS,60,51,60,0,GENERAL
LOTTE CHICO PIE 168G,NOS,70,58,70,0,GENERAL
CAD BOURNVILLE 80G,NOS,90,65,90,0,GENERAL
NOTE BOOK 280,NOS,40,30,40,0,GENERAL
BFIRST GEL,NOS,5,3.75,5,0,GENERAL
