PMNAME,PMUNIT,PMSARATE,PMPURATE,PMMRRATE,PM_GSTPER,PMGROUP
GODREJ KESH KALA      1NO,OTHERS,35,0,35,0,GENERAL
GODREJ LIME SV C      70G,OTHERS,29,0,29,0,GENERAL
GODREJ LIMESC C       20G,OTHERS,12.5,13.33,17,0,GENERAL
GODREJ LIQUI          500G,OTHERS,5,0,5,0,GENERAL
GODREJ LQ HR DYE      20G,OTHERS,120,87,120,0,GENERAL
BOURNVITA,OTHERS,110,25.69,118,0,GENERAL
GODREJ MENTH S C      70,OTHERS,27.5,0,27.5,0,GENERAL
GODREJ NO1            1NO,OTHERS,84,75.1,84,0,GENERAL
GODREJ POWDER HR DYE  3G,OTHERS,19,0,18,0,GENERAL
GODREJ POWDER HR DYE  9G,OTHERS,30,0,30,0,GENERAL
GODREJ RENEW          1BOX,OTHERS,65,205.72,65,0,GENERAL
GODREJ RICH SV C      20G,OTHERS,65,0,12,0,GENERAL
GODREJ RICH SV C      70G,OTHERS,29,0,29,0,GENERAL
GODREJ SHAVING ROUND  50G,OTHERS,25,18.43,20,0,GENERAL
GODREJ SHAVING ROUND  50NO,OTHERS,15,0,15,0,GENERAL
GODREJ SHIKAKAI SOAP  100G,OTHERS,12,127.43,12,0,GENERAL
SURFXLMAT FL PWD500GM,OTHERS,125,115.74,125,0,GENERAL
GODREJ&PRODUCT      1NO,OTHERS,0,48,0,0,GENERAL
GOKUL SANTAL 100G,OTHERS,72,61.5,72,0,GENERAL
GOKUL SANTAL 50G,OTHERS,39,32.57,39,0,GENERAL
VCARE DYE SHAMPOO180ML,OTHERS,505,438,505,0,GENERAL
COMPLAN CHO JAR200G,OTHERS,124,112.62,124,0,GENERAL
GOLD FLAKE KINS 10S,OTHERS,175,152,180,0,GENERAL
BISLERI SODA 600ML,OTHERS,20,10,18,0,GENERAL
GOLD WINNER OIL1kg,OTHERS,155,134,180,0,GENERAL
GOLD WINNER OIL500ml,OTHERS,86,70,105,0,GENERAL
GOLD WINNER OIL5ltr,OTHERS,850,680,875,0,GENERAL
SURF XL MTK PWD TL1KG,OTHERS,215,202.19,215,0,GENERAL
BROOM PLASTIC BAZ,OTHERS,65,23,65,0,GENERAL
TOILETBRUSH ROUNDBAZ,OTHERS,60,35,70,0,GENERAL
TOILETBRUSH S.BEND BAZ,OTHERS,55,21,55,0,GENERAL
SUNFEAST YIPPEECHICK60G,OTHERS,12,9.5,18,0,GENERAL
FOGG BODY SPRAY,OTHERS,185,125,185,0,GENERAL
AASHIRVAAD MULTI1KG,OTHERS,67,56.08,67,0,GENERAL
CHOCOSTICK 1no,OTHERS,120,97.83,120,0,GENERAL
GIFTCOVERCOIN,OTHERS,25,8,25,0,GENERAL
ENGAGEPERFUMESPRAY,OTHERS,210,146.09,210,0,GENERAL
VIM BAR TUB500G,OTHERS,50,40.44,48,0,GENERAL
VIMBAR TUB250G,OTHERS,27,24,27,0,GENERAL
GOODCARE MANGO AMLA CHUTNEY   250,OTHERS,38,0,38,0,GENERAL
JUMPCLIP1PA,OTHERS,35,30,35,0,GENERAL
GOODKNIGHT & PRODUCT  1NO,OTHERS,25,0,18,0,GENERAL
GOODKNIGHT CORD       1NO,OTHERS,75,0,75,0,GENERAL
GOODKNIGHT JUMBO COIL 1BOX,OTHERS,25,0,25,0,GENERAL
GOODKNIGHT LIQUID     45N,OTHERS,54,0,54,0,GENERAL
GOODKNIGHT LIQUID     60N,OTHERS,72,62.18,72,0,GENERAL
GOODKNIGHT LOTION     50G,OTHERS,27,0,27,0,GENERAL
GOODKNIGHT MATS       1BOX,OTHERS,50,0,50,0,GENERAL
GOODKNIGHT MATS       1NO,OTHERS,1.75,0,1.75,0,GENERAL
LIFEBUOY HANDPUMP80ML,OTHERS,85,77.27,85,0,GENERAL
GOODKNIGHT STAR       1NO,OTHERS,34,88.2,35,0,GENERAL
GOOGLY CHOCOLATE      100G,OTHERS,12.5,0,12.5,0,GENERAL
GOPAL TOOTH POWDER    1PK,OTHERS,7,0,3,0,GENERAL
GOPURAM KUMKUM        NO10,OTHERS,35,19,35,0,GENERAL
GOPURAM KUMKUM        NO11,OTHERS,20,4.3,7,0,GENERAL
GOPURAM TUR 20GM,OTHERS,16,10,16,0,GENERAL
GOPURAM TUR 50G,OTHERS,35,19,35,0,GENERAL
GRAPES                1KG,OTHERS,120,75,45,0,GENERAL
GREEN BANANA          1NO,OTHERS,2,0,2,0,GENERAL
KANAN DEVAN 100 G,OTHERS,33,29.5,33,0,GENERAL
GREEN GIANT           1NO,OTHERS,0,0,0,0,GENERAL
GREEN GRAM 1kg,OTHERS,168,82,158,0,GENERAL
GREEN GRAM 200gm,OTHERS,34,0,32,0,GENERAL
GREEN GRAM 500gm,OTHERS,84,0,80,0,GENERAL
GREEN GRAM DALL1kg,OTHERS,168,102,164,0,GENERAL
GREEN GRAM DALL200g,OTHERS,34,0,34,0,GENERAL
GREEN GRAM DALL500g,OTHERS,85,0,82,0,GENERAL
GREEN LABEL           100G,OTHERS,22,0,23,0,GENERAL
GREEN LABEL           200G,OTHERS,43,0,45,0,GENERAL
GREEN LABEL           500G,OTHERS,110,0,110,0,GENERAL
KANAN DEVAN 250 G,OTHERS,28.5,0,30,0,GENERAL
GREEN LABEL CLASSIC   100G,OTHERS,20,0,20,0,GENERAL
GREEN LABEL CLASSIC   200G,OTHERS,38,0,38,0,GENERAL
GREEN PEAS            1KG,OTHERS,108,128,170,0,GENERAL
GREEN PEAS            200G,OTHERS,55,0,30,0,GENERAL
GREEN PEAS            500G,OTHERS,104,0,75,0,GENERAL
GREETING CARD         1NO,OTHERS,13,0,13,0,GENERAL
GROUNDNUT ROSTED100g,OTHERS,35,15.5,32,0,GENERAL
GROUND NUT1kg,OTHERS,198,132,180,0,GENERAL
GROUND NUT200g,OTHERS,36,0,44,0,GENERAL
GROUNDNUT ROSTED200g,OTHERS,64,0,60,0,GENERAL
TOP RAMAN(CHI)CURRY70g,OTHERS,43,39.73,45,0,GENERAL
GROUND NUT500g,OTHERS,99,37.87,110,0,GENERAL
BAM VERMI500g,OTHERS,50,38,45,0,GENERAL
GROUNDNUT TOASTED100g,OTHERS,30,0,30,0,GENERAL
PREMIER EAU DE COLOGNE,OTHERS,105,21.92,105,0,GENERAL
TOP RAMAN CUP MUT70g,OTHERS,45,39.73,45,0,GENERAL
KARAI BUTTERMURU150G,OTHERS,55,44,55,0,GENERAL
SNICKERS,OTHERS,40,17.7,40,0,GENERAL
NOTE BOOK 205,OTHERS,28,21,28,0,GENERAL
GUAVA                 1N,OTHERS,78,45,68,0,GENERAL
GUHA  MIX           500G,OTHERS,37,0,37,0,GENERAL
TOP RAMAN MAS70g,OTHERS,11,8.92,11,0,GENERAL
HAIR & CARE HR OIL    50M,OTHERS,55,0,25,0,GENERAL
HAIR & CARE OIL       100M,OTHERS,26,0,26,0,GENERAL
HAIR & CARE OIL       200M,OTHERS,38,0,38,0,GENERAL
HAIR DYE BRUSH        1NO,OTHERS,15,5,15,0,GENERAL
HAIR&CARE SILK-N-SHINE 100M,OTHERS,89,0,70,0,GENERAL
HAIR&CARE SILK-N-SHINE 50M,OTHERS,51,0,49,0,GENERAL
HALDI SNACKS1no,OTHERS,10,0,10,0,GENERAL
HALDI PEASALT150GM,OTHERS,33,27.68,33,0,GENERAL
HALDI ALL IN ONE,OTHERS,47,41.83,47,0,GENERAL
HALDI ALU BHUJ150g,OTHERS,35,30.44,35,0,GENERAL
NES COCONUTPOWDER100g,OTHERS,100,91.75,100,0,GENERAL
HALDI LASUN SEV150G,OTHERS,30,25.25,30,0,GENERAL
HALDI BADAM HALWA200G,OTHERS,50,42.09,50,0,GENERAL
HALDI RATLAMSEV150G,OTHERS,32,26.93,32,0,GENERAL
HALDI CHIWDA150G,OTHERS,46,40.94,46,0,GENERAL
HALDI SOAN200G,OTHERS,65,55.16,65,0,GENERAL
HALDI MURUKU200G,OTHERS,40,33.66,40,0,GENERAL
HALDI CHEKARA200G,OTHERS,40,33.66,40,0,GENERAL
HALDI BHAKARWADI150G,OTHERS,50,42.07,50,0,GENERAL
HALDI DAL BIJI150G,OTHERS,34,28.61,34,0,GENERAL
HALDI RASSAGULL500G,OTHERS,100,84.14,100,0,GENERAL
NES COCONUTPOWER25g,OTHERS,30,26.91,30,0,GENERAL
HALDI KAJU MAS40g,OTHERS,50,44.48,50,0,GENERAL
HALDI BREAD TOAST75G,OTHERS,5,4.42,5,0,GENERAL
HALDI NAVARATAN,OTHERS,45,37.99,40,0,GENERAL
HALDI ORANGE SON,OTHERS,27,22.73,27,0,GENERAL
HALDI PENUTS,OTHERS,33,27.68,33,0,GENERAL
HALDI RASGULLA1kg,OTHERS,185,159.14,92,0,GENERAL
HALDI RASGULLA500g,OTHERS,100,84.14,37,0,GENERAL
HALDI SOAN CAKE,OTHERS,37,0,37,0,GENERAL
HALDI SOAN PAPDI,OTHERS,65,55.15,65,0,GENERAL
HALDI SPL SOAN,OTHERS,110,92.57,110,0,GENERAL
NES MILKPOWDER20g,OTHERS,10,9.26,10,0,GENERAL
HALDI TASTY NUTS 18,OTHERS,45,39.13,45,0,GENERAL
HALLS                 1NO,OTHERS,1,0.87,1,0,GENERAL
HAMAM 100g,OTHERS,34,30.79,34,0,GENERAL
HAMAM 150g,OTHERS,58,53.17,58,0,GENERAL
RO AMAZER GEL,OTHERS,7,5,7,0,GENERAL
RO AMBER,OTHERS,199,149.24,199,0,GENERAL
HARPIC FLUSHMATIC     100G,OTHERS,204,182.21,204,0,GENERAL
HARPIC FLUSHMATIC     50G,OTHERS,78,65.12,74,0,GENERAL
HARPIC FRESH CITRUS   500M,OTHERS,129,117.27,129,0,GENERAL
AACHI KULAMBU200G,OTHERS,59,48.71,59,0,GENERAL
HARPIC FRESH FLORAL   500M,OTHERS,91,78,91,0,GENERAL
HARPIC FRESH PINE     500M,OTHERS,47,0,47,0,GENERAL
HARPIC PLUS BLEACH    500M,OTHERS,40,0,40,0,GENERAL
HARPIC POWER200ml,OTHERS,44,0,22,0,GENERAL
HARPIC POWER          500M,OTHERS,84,0,84,0,GENERAL
HARPIC POWER          750M,OTHERS,84,0,84,0,GENERAL
HAT TRIK              1NO,OTHERS,7,0,7,0,GENERAL
HAVELLS LAMP         1NO,OTHERS,0,0,0,0,GENERAL
HAZEDRY R.FRESH       1N0,OTHERS,80.5,0,80.5,0,GENERAL
HEAD&SHOULDER & PRODUCT1NO,OTHERS,600,407,600,0,GENERAL
REAL 1 KG,OTHERS,110,90.2,110,0,GENERAL
H&S CM 72ML,OTHERS,68,59.67,68,0,GENERAL
HEAD&SHOULDER SHAMPOO 200M,OTHERS,195,171.41,195,0,GENERAL
HEAD&SHOULDER SHAMPOO 400M,OTHERS,215,0,215,0,GENERAL
HEALTHY WORLD         1KG,OTHERS,22,0,22,0,GENERAL
HEALTHY WORLD         500G,OTHERS,10,0,10,0,GENERAL
HEINZ T.KETCHUP       200G,OTHERS,28,0,28,0,GENERAL
HEINZ T.KETCHUP       500G,OTHERS,50,0,50,0,GENERAL
HEMAS IDLY DOSA FLOUR 1PK,OTHERS,15,0,15,0,GENERAL
HENKO MATIC           1KG,OTHERS,250,222.22,250,0,GENERAL
HENKO POWDER          1KG,OTHERS,120,107.78,120,0,GENERAL
HENKO POWDER          3KG,OTHERS,250,0,250,0,GENERAL
HENKO POWDER          500G,OTHERS,62,52.82,62,0,GENERAL
HENKO POWER PEARLS    1KG,OTHERS,155,0,155,0,GENERAL
HENKO POWER PEARLS    500G,OTHERS,85,0,85,0,GENERAL
HENKO SOAP            125G,OTHERS,10,8.89,10,0,GENERAL
HENKO SOAP            250G,OTHERS,10,9.26,10,0,GENERAL
HENKO SOAP            400G,OTHERS,25,23.15,25,0,GENERAL
HER SKIM MILK         500G,OTHERS,61.5,29.41,61.5,0,GENERAL
HARPIC HIGINIC,OTHERS,78,69.67,78,0,GENERAL
HERTEL PLUS LQ        500M,OTHERS,60,0,60,0,GENERAL
DUSTBIN E.large 30x37,OTHERS,145,87,144,0,GENERAL
HIDE & SEEK           100G,OTHERS,30,0,15,0,GENERAL
HIDE & SEEK           75G,OTHERS,12,0,12,0,GENERAL
HILLS GARLIC          1KG,OTHERS,140,0,140,0,GENERAL
HILLS GARLIC          250G,OTHERS,35,0,35,0,GENERAL
HILLS GARLIC          500G,OTHERS,70,0,70,0,GENERAL
HIMALAYA & PRODUCT    1NO,OTHERS,45,40.94,45,0,GENERAL
HIMALAYA DANDRUFF SHA 100G,OTHERS,130,111.16,130,0,GENERAL
HIMALAYA DENTAL CREAM 100G,OTHERS,50,45.45,50,0,GENERAL
HIMALAYA FACE WASH    100G,OTHERS,160,113.53,160,0,GENERAL
HIMALAYA FACE WASH    50GR,OTHERS,95,65.45,95,0,GENERAL
DETTOL ORIGI PUMP 900ml,OTHERS,274,235.55,274,0,GENERAL
HIMALAYA HAIR OIL     100G,OTHERS,75,53.99,75,0,GENERAL
HIMALAYA LIP SALVE    10G,OTHERS,18,12.46,18,0,GENERAL
HIMALAYA PIMPIE CRE   30G,OTHERS,85,65.72,85,0,GENERAL
HIMALAYA SKIN CREAM   50ML,OTHERS,55,49.76,55,0,GENERAL
HIMANI FAST RELI8EF    1NO,OTHERS,0,0,0,0,GENERAL
HIMANI GOLD           50G,OTHERS,78,0,78,0,GENERAL
HIMANIGOL TURE GREAM  1NO,OTHERS,24,17.28,24,0,GENERAL
HIT CHALK            1NO,OTHERS,15,8.83,15,0,GENERAL
HIT COCKROACHES       160M,OTHERS,101,77.81,101,0,GENERAL
HIT COCKROACHES       320M,OTHERS,172,132.51,182,0,GENERAL
DETTOL SENSI POUCH 750ml,OTHERS,169,0,169,0,GENERAL
HIT COCKROACHES       500M,OTHERS,269,180.91,199,0,GENERAL
HIT MOSQUITOES        320M,OTHERS,119,0,119,0,GENERAL
HIT MOSQUITOES400ml,OTHERS,189,170.1,189,0,GENERAL
HIT MUSQUITOES        160M,OTHERS,99,0,99,0,GENERAL
HIT TRY WIN           45N,OTHERS,182,162.97,182,0,GENERAL
HOME FOIL             1NO,OTHERS,55,0,55,0,GENERAL
HORLICKS MALT(r)200g,OTHERS,99,97.22,99,0,GENERAL
HORLICKS WOM CHO(r)500g,OTHERS,240,222.22,240,0,GENERAL
HORLICKS WOMAN(r)200g,OTHERS,220,0,220,0,GENERAL
HORLICKS GROWTH 200g,OTHERS,275,0,275,0,GENERAL
DETTOL ORIGI POUCH 175ml,OTHERS,54,115.24,115.24,0,GENERAL
HORLICKS CHOC(j)500g,OTHERS,209,0,209,0,GENERAL
HORLICKS JUNIOR(r)500g,OTHERS,256,0,256,0,GENERAL
CAD BOURNVITA(p)500g,OTHERS,209,4.58,290,0,GENERAL
PRINT ROLL,OTHERS,75,40,75,0,GENERAL
MALTOVA 500(r),OTHERS,234,216.67,234,0,GENERAL
BOOST (r) 500g,OTHERS,239,221.3,239,0,GENERAL
VIVA (r) 500g,OTHERS,234,216.67,234,0,GENERAL
HORLICKS LITE(r)500g,OTHERS,288,266.67,288,0,GENERAL
HORLICKS WOM CAR(r)500g,OTHERS,255,236.11,255,0,GENERAL
HOT BOX              1NO,OTHERS,700,0,700,0,GENERAL
DETTOL SKIN POUCH 175ml,OTHERS,122,55.33,122,0,GENERAL
HUGGIES & PRODUCT     1NO,OTHERS,83,0,83,0,GENERAL
HUGGIES DRI-FIT (M)   1NO,OTHERS,77,0,77,0,GENERAL
HUGGIES DRI-FIT (S)   7NO,OTHERS,67,0,67,0,GENERAL
HUGGIES NAPPI-PADS    10PD,OTHERS,60,0,60,0,GENERAL
HUGGIES NAPPI-PADS    5PD,OTHERS,31,0,31,0,GENERAL
HYLEX KITCHEN TOWELS  1NO,OTHERS,41.95,0,41.95,0,GENERAL
ICE GREAM,OTHERS,10,0,0,0,GENERAL
ICE GREAM FAMILY PACK 1L,OTHERS,0,0,0,0,GENERAL
ICE STICK             1NO,OTHERS,30,0,5,0,GENERAL
ICE TEA               1NO,OTHERS,50,0,40,0,GENERAL
PEDIA SURE VANILLA 400 G,OTHERS,313.5,0,330,0,GENERAL
ICING SUGAR           1NO,OTHERS,9,0,9,0,GENERAL
IDHAYAM N.OIL 100gr,OTHERS,32,28,35,0,GENERAL
IDHAYAM N.OIL  1Kg,OTHERS,288,268,278,0,GENERAL
IDHAYAM N.OIL 200gr,OTHERS,60,55,58,0,GENERAL
IDHAYAM N.OIL500g,OTHERS,146,136,140,0,GENERAL
IDHAYAM N.OIL50ml,OTHERS,14,12,18,0,GENERAL
CAD FUSE25g,OTHERS,20,17.86,20,0,GENERAL
PHENEOL LEMON 750ML,OTHERS,67,40.2,67,0,GENERAL
IMPERIAL LEA WHITE    75G,OTHERS,12.5,0,12.5,0,GENERAL
IMPERIAL LEATHER      75G,OTHERS,12,0,12,0,GENERAL
GLUCON -D 125 G,OTHERS,16.63,0,17.5,0,GENERAL
IMPULSE               1NO,OTHERS,95,0,95,0,GENERAL
INDIA GATE BASMATHI   1KG,OTHERS,98,86.52,98,0,GENERAL
INDIA KINGS           20S,OTHERS,58,0,58,0,GENERAL
INDICA HAIRDYEPOW     1PK,OTHERS,10,0,10,0,GENERAL
INDULEKHA 100ML,OTHERS,135,185.25,135,0,GENERAL
INK PEN               1NO,OTHERS,25,20,25,0,GENERAL
INST.CH.GRAS COC      80G,OTHERS,22.5,0,22.5,0,GENERAL
IODEX 8GM,OTHERS,40,34.79,40,0,GENERAL
IODEX 40gm,OTHERS,110,113.04,110,0,GENERAL
ITCH GUARD CRE25g,OTHERS,99,84.15,99,0,GENERAL
IYENGAAR JS APPALLAM  1NO,OTHERS,10,0,10,0,GENERAL
J.RICE 1KG,OTHERS,128,62,160,0,GENERAL
J.RICE 200g,OTHERS,32,0,32,0,GENERAL
SUNFEASTYIPPEECHOW60G,OTHERS,12,11.03,12,0,GENERAL
DETTOL COOL PUMP 200ml,OTHERS,90,81.08,90,0,GENERAL
JAGGERY  1 kg,OTHERS,108,64,98,0,GENERAL
JAGGERY 200g,OTHERS,22,0,20,0,GENERAL
DETTOL GOLD PUMP 200ml,OTHERS,99,84.65,99,0,GENERAL
JAGGERY 500g,OTHERS,54,33,55,0,GENERAL
MAGGI HOT&SWEET 500GM,OTHERS,105,96.33,105,0,GENERAL
JAI SOAP              75G,OTHERS,7,0,7,0,GENERAL
JATHI PATHRI          100G,OTHERS,390,194,10,0,GENERAL
JATHIKAI              1NO,OTHERS,2,0,2,0,GENERAL
JAY CHIPS MASALA      100G,OTHERS,10,0,10,0,GENERAL
JAY CHIPS SALT        100G,OTHERS,10,0,10,0,GENERAL
JEEVA SOAP            75G,OTHERS,10,0,10,0,GENERAL
JELLY                 1NO,OTHERS,4,200,3,0,GENERAL
JEM CLIPS             1NO,OTHERS,9,0,9,0,GENERAL
JET 3-IN-1 SPRAY      250M,OTHERS,40,0,40,0,GENERAL
JET FRESH             50G,OTHERS,14,0,14,0,GENERAL
KISAN CHILLI TOMATO SAUCE 500 G,OTHERS,65,0,65,0,GENERAL
JET SPRAY             320M,OTHERS,75,0,75,0,GENERAL
JETMATS               1BOX,OTHERS,42,0,42,0,GENERAL
JETTERPEN             1NO,OTHERS,15,0,15,0,GENERAL
JIM JAM Bri100g,OTHERS,25,22.51,10,0,GENERAL
JOHN BABY WIPES10n,OTHERS,45,38.63,45,0,GENERAL
JOHN BABY CREAM 50g,OTHERS,70,0,70,0,GENERAL
JOHN BABY CREAM 100g,OTHERS,150,125.44,150,0,GENERAL
JOHNSON HAIROIL 60ml,OTHERS,60,51.73,60,0,GENERAL
JOHN BABY HAIROIL 100ml,OTHERS,80,72.73,80,0,GENERAL
JOHN BABY CREAM MILK100g,OTHERS,145,137.97,145,0,GENERAL
KISSAN TOMATO SAUCE 500,OTHERS,105,90.83,105,0,GENERAL
JOHN BABY SHAMPO 60ml,OTHERS,60,45.99,60,0,GENERAL
JOHN BABY SHAMPO 475ml,OTHERS,325,0,325,0,GENERAL
JOHN BABY LOTION 100ml,OTHERS,95,81.91,95,0,GENERAL
JOHN BABY LOTION 200ml,OTHERS,170,142.15,170,0,GENERAL
PRACTICAL NOTEBOOK,OTHERS,75,0,75,0,GENERAL
CASH MEMO,OTHERS,40,13,40,0,GENERAL
MAGGI PAZZTA64g,OTHERS,28,25.18,28,0,GENERAL
JOHN BABY POW(b)100g,OTHERS,75,62.71,75,0,GENERAL
JOHN BABY POW(b)200g,OTHERS,225,199.71,225,0,GENERAL
JOHN BABY POW(b)50g,OTHERS,45,33.42,45,0,GENERAL
WHEEL 50 G,OTHERS,12.35,0,13,0,GENERAL
KISSAN MIXED FURIT JAM 100 G,OTHERS,20,17.8,20,0,GENERAL
JOHN BABY POW 700g,OTHERS,314,254.44,314,0,GENERAL
JOHN BABY POW 50g,OTHERS,37,30.94,35,0,GENERAL
JOHN BABY POW 100g,OTHERS,80,66.89,80,0,GENERAL
JOHN BABY SOAP(b)50g,OTHERS,58,40.65,47,0,GENERAL
JOHN BABY SOAP 50g,OTHERS,30,0,30,0,GENERAL
JOHN BABY SHAMPO150,OTHERS,165,142.24,165,0,GENERAL
JOHN BABY SOAP 25g,OTHERS,15,21.46,15,0,GENERAL
JOHN BUDS 15no,OTHERS,28,24.03,28,0,GENERAL
JOHN BABY SOAP 100g,OTHERS,70,57.71,70,0,GENERAL
JOHN BUDS jar,OTHERS,100,85.84,100,0,GENERAL
KISSAN MIXED FURIT JAM 2OO G,OTHERS,68,62.39,68,0,GENERAL
JOHN BABY SOAP 150g,OTHERS,105,86.58,105,0,GENERAL
JORDAN WONDERTIP      1NO,OTHERS,20,0,20,0,GENERAL
JUC-UP                100G,OTHERS,15,0,15,0,GENERAL
JUC-UP                25G,OTHERS,3,0,3,0,GENERAL
JUNGLEFUN BISCUIT     1NO,OTHERS,5,0,5,0,GENERAL
JUTE-BAG              1NO,OTHERS,19,0,19,0,GENERAL
BROOM PLASTIC(J),OTHERS,99,49,99,0,GENERAL
GILL SHAVING FOAM196g(R),OTHERS,199,168.79,199,0,GENERAL
GILL FUSION 8no,OTHERS,1599,1380.37,1599,0,GENERAL
GILL SAV FOAM418g(R),OTHERS,225,196.88,225,0,GENERAL
MOP BIG R/C(B),OTHERS,125,61.36,125,0,GENERAL
KWALITY BUT SCO 700ML,OTHERS,135,112.5,135,0,GENERAL
NOTE BOOK281,OTHERS,75,56.25,75,0,GENERAL
N0TE BOOK 236,OTHERS,78,12,78,0,GENERAL
CASH VOUCHER,OTHERS,30,13,30,0,GENERAL
KWALITY CHO FEAST70ML,OTHERS,30,25,30,0,GENERAL
KALKANDU50g,OTHERS,10,0,10,0,GENERAL
KANNAN DEVAN TEA      100G,OTHERS,16,0,17.5,0,GENERAL
KANNAN DEVAN TEA      250G,OTHERS,34,0,41,0,GENERAL
KANNAN DEVAN TEA      500G,OTHERS,68,0,39,0,GENERAL
KASKASA 100g,OTHERS,238,0,110,0,GENERAL
KASKASA1KG,OTHERS,2380,1750,1558,0,GENERAL
KASKASA 500g,OTHERS,1200,0,160,0,GENERAL
KASKASA 50g,OTHERS,120,0,55,0,GENERAL
KELLOGGS K435GM,OTHERS,195,177.27,195,0,GENERAL
KELLOGGS CORN100GM,OTHERS,38,34.54,38,0,GENERAL
KELL CRISPIX CHOCOLA  110G,OTHERS,40,36.36,40,0,GENERAL
KELL CRISPIX CHOCOLA  300G,OTHERS,120,109.09,120,0,GENERAL
KELL RAISIN BRAN      425G,OTHERS,200,163.63,200,0,GENERAL
KELL.BISCUTIS         1NO,OTHERS,10,8.93,10,0,GENERAL
KISSAN MIXED FURIT JAM 20 G,OTHERS,1.9,0,2,0,GENERAL
KELLOGG`S BADAM CRUNCH175G,OTHERS,15,17.85,125,0,GENERAL
KELLOGG`S CHOCOS      125G,OTHERS,55,50,55,0,GENERAL
KELLOGG`S CHOCOS      250G,OTHERS,120,109.09,120,0,GENERAL
KELLOGG`S CHOCOS      375G,OTHERS,165,150,165,0,GENERAL
KELLOGG`S CHOCOS      700G,OTHERS,195,0,195,0,GENERAL
KELLOGG`S CORN FLAKES 100G,OTHERS,40,36.36,40,0,GENERAL
KELLOGG`S CORN FLAKES 250G,OTHERS,95,86.35,95,0,GENERAL
KELLOGG`S CORN FLAKES 475G,OTHERS,125,163.63,125,0,GENERAL
KELLOGG`S CORN FLAKES 500G,OTHERS,75,0,75,0,GENERAL
KELLOGG`S FROSTIES    275G,OTHERS,85,0,85,0,GENERAL
AACHI LEMON RICE PASTE,OTHERS,26,14.96,26,0,GENERAL
KELLOGG`S FRUIT LOOP  1NO,OTHERS,90,0,90,0,GENERAL
KELLOG MUESLINUTS 500gm,OTHERS,300,198,300,0,GENERAL
KELLOGG`S JUST RIGHT ALOMOND 275G,OTHERS,110,136.36,110,0,GENERAL
KELLOGG`S JUST RIGHT APPLE   250G,OTHERS,90,0,90,0,GENERAL
KELLOGGS MUESLI,OTHERS,300,272.72,300,0,GENERAL
KELLOGG`S STRAWBERRY  250G,OTHERS,95,0,95,0,GENERAL
KELLOGG`S WEAT FLEKES 425G,OTHERS,125,145.45,125,0,GENERAL
KEO KARPIN HAIR OIL   300M,OTHERS,56,0,56,0,GENERAL
KEOKRPIN HR OIL       100G,OTHERS,24,0,24,0,GENERAL
KESAR PISTA           1NO,OTHERS,15.5,0,15.5,0,GENERAL
AACHI KULAMBU500G,OTHERS,149,120.23,149,0,GENERAL
KESAR PISTA FAM PK    1PK,OTHERS,70,0,70,0,GENERAL
KESAR PISTA PARTY PK  1000,OTHERS,110,0,110,0,GENERAL
AGARBHATHI SAMBRANI,OTHERS,18,14.58,18,0,GENERAL
KESAVARDHINI          25ML,OTHERS,29,0,16,0,GENERAL
KEY & PRODICT         1NO,OTHERS,11,0,11,0,GENERAL
KEY BRAND STARCH      250G,OTHERS,13,0,13,0,GENERAL
KEY CHINA GRASS       10G,OTHERS,17,0,17,0,GENERAL
KEY CITRIC ACID       50G,OTHERS,13,0,13,0,GENERAL
KEY CORNFLOWR         100G,OTHERS,9.75,0,9.75,0,GENERAL
KEY CUSTARD POWDER    100G,OTHERS,17,0,17,0,GENERAL
KEY G.M.S             50G,OTHERS,12,0,12,0,GENERAL
KEY GELATINE          50G,OTHERS,27,0,27,0,GENERAL
KEY ICING SUGAR       200G,OTHERS,10,0,10,0,GENERAL
KEY K.M.S             50G,OTHERS,12.5,0,12.5,0,GENERAL
KEY NO MOTO           1KG,OTHERS,120,0,120,0,GENERAL
KEY NO MOTO           25G,OTHERS,12.5,0,12.5,0,GENERAL
KEY SODIUM BENZOATE   50G,OTHERS,12,0,12,0,GENERAL
KEY STARCH           250G,OTHERS,13,0,13,0,GENERAL
KEY YEAST             25G,OTHERS,15,0,15,0,GENERAL
KICHADI DALL          200G,OTHERS,9,0,9,0,GENERAL
KICHADI DALL          500G,OTHERS,20,0,20,0,GENERAL
KIDS POWDER           1NO,OTHERS,33.5,0,33.5,0,GENERAL
KIDS SOAP             75G,OTHERS,14,0,14,0,GENERAL
KINLEY WATER 1LTR,OTHERS,20,13.67,20,0,GENERAL
KINLEY WATER          2L,OTHERS,18,0,18,0,GENERAL
KIRIL ICY COOL MINT   250ML,OTHERS,90,0,90,0,GENERAL
KIS & PRODUCT        1NO,OTHERS,55,0,30,0,GENERAL
KIS GRAPE SQUASH      700G,OTHERS,55,0,55,0,GENERAL
KIS GREEDY BISTIX     25G,OTHERS,5,0,5,0,GENERAL
KIS LEMON SQUASH      700M,OTHERS,55,0,55,0,GENERAL
KIS MANGO JAM         500G,OTHERS,65,0,65,0,GENERAL
KIS MANGO SQUAS       700G,OTHERS,55,0,55,0,GENERAL
KIS MIX.FRUITJAM      100G,OTHERS,16,16.38,16,0,GENERAL
KIS MIX.FRUITJAM      500G,OTHERS,150,0,72,0,GENERAL
